practices,social,study vs product,system perception,system use,value judgements
agent (1),,mobile (1),advertise (1),inconvenient (4),depending (1)
trusted (1),,coops (1),veg (1),job (4),milk (1)
seemed (1),,therefore (1),isi (1),great (4),heavy (1)
trust (1),,breadoh (1),rememberresearcher (1),cancelling (4),unclearovertalking (1)
instinctively (1),,coop (1),thewhat (1),past (4),variety (1)
porsche (1),,literally (1),dealt (1),with (4),importance (1)
dreams (1),,forget (1),issues (1),seems (4),name (1)
dishes (1),,nearest (1),your (1),broken (4),resarcher (1)
chillies (1),,countryside (1),choose (1),showed (4),sat (1)
pop (1),,ran (1),routers (1),realise (4),grams (1)
curry (1),,minute (1),speed (1),adjust (4),important (1)
repeated (1),,absolutely (1),many (1),instance (4),detail (1)
matter (1),,supermarketyou (1),ethical (1),tough (4),read (1)
whip (1),,farm (1),find (1),bother (4),battery (1)
together (1),,lived (1),comparing (1),short (4),signal (1)
dish (1),,deem (1),abstracting (1),limitation (4),case (1)
seasonal (1),,pass (1),click (1),specifically (4),beginning (1)
possible (1),,sell (1),unconscious (1),waste (4),butwe (1)
avoid (1),,detour (1),similar (1),moving (4),november (1)
somethings (1),,fiveminute (1),store (1),onto (4),strange (1)
wintery (1),,concealed (1),depot (1),known (4),arranged (1)
asparagus (1),,accept (1),robots (1),frustrating (4),rd (1)
winter (1),,accepted (1),everywhere (1),near (4),still (1)
strawberries (1),,beforehand (1),shared (1),note (4),benefit (1)
bowls (1),,rang (1),issue (1),watching (4),remote (1)
serve (1),,parcel (1),our (1),moved (4),reads (1)
housemate (1),,ecothing (1),,plans (4),your (1)
passes (1),,sunflower (1),,tacos (4),lots (1)
he (1),,travel (1),,mates (4),ups (1)
start (1),,threw (1),,topup (4),advantage (1)
promised (1),,eco (1),,indulgence (4),uses (1)
currently (1),,window (1),,oneday (4),date (1)
argue (1),,though (1),,leave (4),femalefirst (1)
delivers (1),,fair (1),,cold (4),key (1)
goods (1),,tend (1),,across (4),male (1)
automatically (1),,fantastic (1),,now (4),unidentified (1)
automatic (1),,unobtrusive (1),,simone (4),malethank (1)
ingredient (1),,dropped (1),,again (4),speaker (1)
product (1),,whenever (1),,lag (4),penne (1)
preagreed (1),,explained (1),,giving (4),coffee (1)
synchronise (1),,specified (1),,seem (4),basic (1)
young (1),,trigger (1),,cheaper (4),curious (1)
tired (1),,email (1),,sound (4),useful (1)
white (1),,alert (1),,confirmation (4),situation (1)
reallife (1),,parameters (1),,reassurance (4),office (1)
allergy (1),,silly (1),,sounds (4),crisis (1)
scenario (1),,continuing (1),,bring (4),added (1)
ideal (1),,played (1),,issue (4),confused (1)
throughout (1),,meal (1),,notice (4),service (1)
extreme (1),,kept (1),,apart (4),click (1)
process (1),,oclock (1),,october (4),whos (1)
timing (1),,finishing (1),,reply (4),shes (1)
bombarded (1),,leave (1),,trial (4),charge (1)
happens (1),,meeting (1),,abel (4),deal (1)
savings (1),,comfort (1),,cole (4),tbc (1)
middle (1),,feed (1),,yet (4),issue (1)
website (1),,ready (1),,touch (4),encountering (1)
timetable (1),,office (1),,itd (4),help (1)
doesnt (1),,women (1),,necessarily (4),address (1)
flexible (1),,outer (1),,reset (4),becomes (1)
underground (1),,family (1),,balance (4),jake (1)
station (1),,treats (1),,usage (4),aware (1)
felt (1),,processes (1),,ai (4),refilled (1)
workplace (1),,calendar (1),,she (4),
passing (1),,outlook (1),,keys (4),
lidl (1),,sorter (1),,approach (4),
tescos (1),,rememberer (1),,immediate (4),
parties (1),,excel (1),,hang (4),
party (1),,person (1),,collecting (4),
youll (1),,brain (1),,confirmed (4),
option (1),,fiddled (1),,expecting (4),
evolve (1),,preferences (1),,whereas (4),
expect (1),,anticipated (1),,researcher (4),
project (1),,chaos (1),,office (4),
essentially (1),,wonder (1),,criteria (3),
green (1),,slight (1),,cheapest (3),
environment (1),,sorted (1),,larger (3),
preferable (1),,limit (1),,shelf (3),
details (1),,variety (1),,concern (3),
kinds (1),,turning (1),,punnet (3),
forward (1),,dried (1),,halfway (3),
alcohol (1),,zones (1),,sauce (3),
slices (1),,unrolled (1),,accessible (3),
intoxicated (1),,graphene (1),,tins (3),
bed (1),,talk (1),,tomato (3),
fridge (1),,overlay (1),,neighbour (3),
nextday (1),,map (1),,worry (3),
years (1),,institute (1),,together (3),
short (1),,rfid (1),,dish (3),
code (1),,tag (1),,redeliver (3),
prime (1),,moved (1),,pissed (3),
supposed (1),,suddenly (1),,freeze (3),
showed (1),,oneday (1),,robot (3),
miserable (1),,threeday (1),,free (3),
outside (1),,service (1),,ahead (3),
complain (1),,refills (1),,mum (3),
begged (1),,includes (1),,special (3),
job (1),,package (1),,daily (3),
immigrant (1),,confusing (1),,thoughtful (3),
review (1),,second (1),,several (3),
country (1),,sake (1),,timing (3),
conditions (1),,must (1),,hi (3),
awful (1),,perhaps (1),,live (3),
ridiculous (1),,otherwise (1),,purpose (3),
god (1),,low (1),,drivers (3),
drag (1),,checked (1),,amazing (3),
scream (1),,shown (1),,essentially (3),
asking (1),,remote (1),,needs (3),
fuss (1),,starting (1),,parents (3),
kinder (1),,brown (1),,scared (3),
crying (1),,avoid (1),,deleting (3),
advance (1),,checking (1),,disconnected (3),
handy (1),,delayed (1),,hoover (3),
iphone (1),,check (1),,household (3),
general (1),,faff (1),,diet (3),
cover (1),,geeky (1),,water (3),
superfluous (1),,app (1),,heavy (3),
fourth (1),,consumption (1),,resarcher (3),
gives (1),,energy (1),,contacted (3),
cancel (1),,electric (1),,direct (3),
voucher (1),,sound (1),,stopped (3),
initial (1),,exists (1),,runs (3),
nine (1),,range (1),,immediately (3),
says (1),,quality (1),,theyd (3),
very (1),,brands (1),,hm (3),
hardly (1),,brand (1),,gives (3),
tells (1),,expected (1),,visually (3),
friend (1),,months (1),,everythings (3),
christian (1),,concept (1),,stuck (3),
ticket (1),,judging (1),,proper (3),
concert (1),,needs (1),,rely (3),
happening (1),,improvements (1),,lead (3),
designed (1),,criticise (1),,weigh (3),
clearly (1),,waitrose (1),,per (3),
organised (1),,nutritional (1),,remembered (3),
am (1),,unrealistic (1),,move (3),
simple (1),,faster (1),,brands (3),
switch (1),,glasses (1),,fault (3),
let (1),,wearing (1),,toyes (3),
extremely (1),,takes (1),,site (3),
mobility (1),,consequence (1),,biscuit (3),
gosh (1),,middle (1),,weetabix (3),
texts (1),,bending (1),,versus (3),
receive (1),,adjusting (1),,unexpected (3),
gave (1),,understand (1),,obvious (3),
downstairs (1),,year (1),,seed (3),
occasions (1),,nicer (1),,grape (3),
brought (1),,betterquality (1),,sooner (3),
recollection (1),,turkey (1),,selected (3),
joan (1),,shelves (1),,harder (3),
sold (1),,bunch (1),,oils (3),
structure (1),,nail (1),,mixed (3),
taste (1),,weekly (1),,intended (3),
c (1),,oryes (1),,eco (3),
vitamin (1),,leaflet (1),,brought (3),
source (1),,table (1),,picking (3),
nadia (1),,great (1),,dropped (3),
store (1),,chips (1),,alert (3),
clementine (1),,transparent (1),,tea (3),
has (1),,quiteyes (1),,friend (3),
improve (1),,double (1),,meaningful (3),
potential (1),,although (1),,faster (3),
reordering (1),,footprint (1),,valuable (3),
hand (1),,carbon (1),,services (3),
worried (1),,togethermmhmm (1),,threeday (3),
card (1),,wasbut (1),,confusing (3),
scared (1),,car (1),,feeling (3),
situation (1),,everybody (1),,pressed (3),
credit (1),,neat (1),,opened (3),
allowance (1),,zipped (1),,wow (3),
real (1),,appreciated (1),,worth (3),
breadbased (1),,supposedly (1),,drop (3),
reality (1),,reason (1),,wonder (3),
low (1),,leaning (1),,technical (3),
practical (1),,sorry (1),,jasmine (3),
crap (1),,working (1),,fourth (3),
realising (1),,in (1),,some (3),
hardest (1),,glitch (1),,accident (3),
tune (1),,stick (1),,fascinating (3),
quantity (1),,counter (1),,compared (3),
hungry (1),,theory (1),,weighing (3),
email (1),,years (1),,geeky (3),
notifications (1),,shared (1),,evening (3),
novelty (1),,accommodation (1),,sends (3),
message (1),,difficult (1),,nicer (3),
comfortably (1),,throw (1),,complete (3),
fitted (1),,balance (1),,exploring (3),
learn (1),,fourths (1),,ipad (3),
flag (1),,left (1),,systems (3),
learning (1),,andbutter (1),,random (3),
appropriate (1),,ended (1),,carried (3),
solved (1),,store (1),,sainsburys (3),
field (1),,huge (1),,account (3),
defining (1),,deal (1),,potato (3),
savoury (1),,button (1),,apparently (3),
shown (1),,click (1),,consumed (3),
paths (1),,somewhat (1),,suggest (3),
straight (1),,property (1),,ends (3),
bounced (1),,specific (1),,living (3),
section (1),,corner (1),,honestly (3),
journey (1),,necessarily (1),,street (3),
develops (1),,flavours (1),,everybody (3),
cornflakes (1),,ivwould (1),,quinoa (3),
intelligently (1),,ivso (1),,gotten (3),
develop (1),,graph (1),,spent (3),
word (1),,looks (1),,wanting (3),
picked (1),,orno (1),,towards (3),
substitutes (1),,learnt (1),,drink (3),
title (1),,stay (1),,turn (3),
definition (1),,initially (1),,appointment (3),
collaborative (1),,consuming (1),,joking (3),
packs (1),,obviouslyyou (1),,priorities (3),
call (1),,machine (1),,slow (3),
rolls (1),,static (1),,tells (3),
wheres (1),,single (1),,share (3),
cutting (1),,projected (1),,register (3),
contains (1),,,,voice (3),
customers (1),,,,google (3),
relevant (1),,,,years (3),
allergens (1),,,,clementine (3),
crop (1),,,,hello (3),
preferences (1),,,,may (3),
record (1),,,,bothered (3),
allergies (1),,,,colour (3),
significant (1),,,,bin (3),
recognised (1),,,,charge (3),
label (1),,,,changing (3),
frustrating (1),,,,peelers (3),
baggy (1),,,,continue (3),
spirit (1),,,,fully (3),
meant (1),,,,eventually (3),
oferrabout (1),,,,effort (3),
consumer (1),,,,surprised (3),
share (1),,,,line (3),
orders (1),,,,experienced (3),
reviewing (1),,,,bags (3),
zero (1),,,,likeso (3),
sandwich (1),,,,lower (3),
telling (1),,,,pounds (3),
seeing (1),,,,only (3),
themoh (1),,,,soyes (3),
all (1),,,,clean (3),
phones (1),,,,cost (3),
tonight (1),,,,alright (3),
mobile (1),,,,side (3),
coops (1),,,,chop (3),
therefore (1),,,,spot (3),
breadoh (1),,,,alerts (3),
literally (1),,,,turned (3),
nearest (1),,,,sensible (3),
ran (1),,,,grocery (3),
minute (1),,,,visited (3),
supermarketyou (1),,,,save (3),
farm (1),,,,bed (3),
bin (1),,,,given (3),
touch (1),,,,milk (3),
allowed (1),,,,particularly (3),
pull (1),,,,tracking (3),
directly (1),,,,forgotten (3),
concerns (1),,,,rephrase (3),
moved (1),,,,paid (3),
dhl (1),,,,where (3),
horrors (1),,,,freezer (3),
alison (1),,,,final (3),
near (1),,,,pepper (3),
attempt (1),,,,conversation (3),
offence (1),,,,partner (3),
note (1),,,,select (3),
frustration (1),,,,timeout (3),
biggest (1),,,,rd (3),
groceries (1),,,,delete (3),
stock (1),,,,thanks (3),
guacamole (1),,,,ivyes (3),
bottle (1),,,,answers (3),
terribly (1),,,,favourites (3),
health (1),,,,fusilli (3),
reasons (1),,,,chosen (2),
light (1),,,,specified (2),
engaged (1),,,,quickest (2),
level (1),,,,friendly (2),
priority (1),,,,environmentally (2),
eco (1),,,,embarrassed (2),
actively (1),,,,communication (2),
hands (1),,,,rest (2),
may (1),,,,shit (2),
parameters (1),,,,tomatobased (2),
played (1),,,,roughly (2),
brilliant (1),,,,knows (2),
bizarrely (1),,,,involvement (2),
etc (1),,,,neither (2),
lost (1),,,,poke (2),
kept (1),,,,biggest (2),
knowing (1),,,,addison (2),
oclock (1),,,,our (2),
finishing (1),,,,lee (2),
leave (1),,,,installed (2),
meeting (1),,,,constantly (2),
comfort (1),,,,dishes (2),
feed (1),,,,habits (2),
ready (1),,,,curry (2),
office (1),,,,basics (2),
partly (1),,,,outrageous (2),
shoppers (1),,,,italian (2),
internet (1),,,,tomatos (2),
final (1),,,,similar (2),
control (1),,,,amounts (2),
logging (1),,,,bowls (2),
initially (1),,,,throw (2),
vegetable (1),,,,huge (2),
conversation (1),,,,humans (2),
keen (1),,,,traffic (2),
mix (1),,,,walking (2),
roasting (1),,,,subscribed (2),
smell (1),,,,overnight (2),
cumin (1),,,,ideal (2),
coriander (1),,,,apps (2),
cayenne (1),,,,interactive (2),
pepper (1),,,,diogo (2),
lamb (1),,,,personal (2),
register (1),,,,engaging (2),
decision (1),,,,relied (2),
shoulder (1),,,,green (2),
frequently (1),,,,period (2),
happened (1),,,,kinds (2),
meat (1),,,,forward (2),
litter (1),,,,sustainability (2),
reliant (1),,,,surprise (2),
geraldine (1),,,,theyll (2),
nappies (1),,,,meals (2),
attritional (1),,,,touching (2),
stopped (1),,,,itll (2),
earlier (1),,,,loan (2),
typically (1),,,,pulled (2),
hed (1),,,,wire (2),
full (1),,,,seamlessly (2),
pound (1),,,,keeps (2),
looked (1),,,,gap (2),
offer (1),,,,thousand (2),
carrier (1),,,,interaction (2),
texting (1),,,,hell (2),
save (1),,,,minimum (2),
ask (1),,,,stack (2),
wanting (1),,,,shape (2),
becausei (1),,,,mildly (2),
decided (1),,,,texting (2),
shoved (1),,,,hand (2),
top (1),,,,evenings (2),
care (1),,,,difficulties (2),
container (1),,,,walked (2),
spaghettis (1),,,,presumably (2),
served (1),,,,too (2),
faster (1),,,,ideally (2),
feels (1),,,,carrier (2),
value (1),,,,ultimately (2),
considered (1),,,,whilst (2),
valuable (1),,,,tech (2),
snacks (1),,,,fridges (2),
appreciate (1),,,,x (2),
pay (1),,,,depth (2),
where (1),,,,model (2),
properly (1),,,,shouldnt (2),
fast (1),,,,hardware (2),
refill (1),,,,advantage (2),
filled (1),,,,worst (2),
refilling (1),,,,load (2),
keeps (1),,,,action (2),
special (1),,,,serving (2),
game (1),,,,weekends (2),
liberals (1),,,,pushed (2),
forgiving (1),,,,wall (2),
article (1),,,,most (2),
warehouses (1),,,,intrigued (2),
pressed (1),,,,company (2),
bathroom (1),,,,mistaken (2),
shipping (1),,,,ultimate (2),
packers (1),,,,triggering (2),
showing (1),,,,cheat (2),
machine (1),,,,adjustments (2),
slaves (1),,,,sundays (2),
per (1),,,,confusion (2),
target (1),,,,spare (2),
since (1),,,,breakfast (2),
imply (1),,,,cereal (2),
background (1),,,,learning (2),
driving (1),,,,replaced (2),
drenched (1),,,,evaluation (2),
thank (1),,,,smartphone (2),
open (1),,,,therefore (2),
kill (1),,,,weights (2),
had (1),,,,packaging (2),
second (1),,,,customer (2),
trial (1),,,,pause (2),
sake (1),,,,bagels (2),
although (1),,,,wednesday (2),
independently (1),,,,novelty (2),
again (1),,,,stage (2),
worth (1),,,,locally (2),
cup (1),,,,usual (2),
weigh (1),,,,up (2),
compared (1),,,,tv (2),
vary (1),,,,directly (2),
seem (1),,,,road (2),
decrease (1),,,,attempt (2),
harder (1),,,,social (2),
fix (1),,,,missed (2),
difficulty (1),,,,backup (2),
quality (1),,,,thankfully (2),
depots (1),,,,fair (2),
random (1),,,,hit (2),
branding (1),,,,allowed (2),
baking (1),,,,variable (2),
worrying (1),,,,push (2),
van (1),,,,onion (2),
company (1),,,,consideration (2),
taxi (1),,,,lives (2),
staples (1),,,,charging (2),
asian (1),,,,complicated (2),
redelivered (1),,,,containers (2),
large (1),,,,pot (2),
cumbersome (1),,,,incident (2),
corner (1),,,,fluke (2),
heavy (1),,,,switched (2),
building (1),,,,becomes (2),
depending (1),,,,considered (2),
locally (1),,,,separate (2),
whitecross (1),,,,refills (2),
borough (1),,,,behave (2),
hackney (1),,,,predict (2),
towards (1),,,,reliable (2),
interacting (1),,,,elaborate (2),
moving (1),,,,machine (2),
humans (1),,,,target (2),
machines (1),,,,since (2),
rain (1),,,,driving (2),
omelettes (1),,,,killed (2),
hot (1),,,,silly (2),
scrambled (1),,,,kill (2),
boiling (1),,,,medicine (2),
peak (1),,,,heres (2),
growing (1),,,,underneath (2),
gym (1),,,,catches (2),
everybody (1),,,,oddly (2),
monthly (1),,,,reacted (2),
virgin (1),,,,fifth (2),
seriously (1),,,,sixth (2),
drink (1),,,,liking (2),
companies (1),,,,shipped (2),
wasting (1),,,,travelled (2),
smelling (1),,,,distance (2),
touching (1),,,,source (2),
weekends (1),,,,considerations (2),
cake (1),,,,early (2),
changing (1),,,,unusual (2),
youokay (1),,,,remote (2),
aisle (1),,,,avoid (2),
walked (1),,,,entirely (2),
vision (1),,,,tended (2),
minimum (1),,,,glance (2),
spent (1),,,,anywhere (2),
recommendations (1),,,,prefer (2),
hello (1),,,,messed (2),
selection (1),,,,depots (2),
expire (1),,,,hoping (2),
bake (1),,,,updating (2),
courgette (1),,,,at (2),
heres (1),,,,listed (2),
cheese (1),,,,straightaway (2),
foods (1),,,,ball (2),
adventurous (1),,,,van (2),
wide (1),,,,signed (2),
effort (1),,,,mostly (2),
enjoyed (1),,,,password (2),
portions (1),,,,about (2),
beers (1),,,,readjusting (2),
unhealthy (1),,,,walk (2),
analyse (1),,,,car (2),
data (1),,,,spend (2),
benefit (1),,,,logical (2),
single (1),,,,covered (2),
trends (1),,,,convince (2),
pretty (1),,,,swap (2),
ideally (1),,,,barley (2),
given (1),,,,element (2),
persons (1),,,,angry (2),
ditch (1),,,,my (2),
read (1),,,,introduced (2),
bananas (1),,,,phones (2),
cheap (1),,,,scary (2),
leftovers (1),,,,behaviour (2),
starting (1),,,,thatd (2),
soft (1),,,,from (2),
adapted (1),,,,monitored (2),
degrees (1),,,,practical (2),
limitation (1),,,,massive (2),
deal (1),,,,afternoon (2),
frozen (1),,,,reorders (2),
centigrade (1),,,,speaking (2),
minus (1),,,,dinner (2),
cope (1),,,,nobody (2),
paranoia (1),,,,sick (2),
generally (1),,,,settings (2),
brother (1),,,,step (2),
others (1),,,,terrible (2),
interest (1),,,,assumed (2),
beforedid (1),,,,tortilla (2),
sommhmm (1),,,,eyes (2),
packing (1),,,,despite (2),
original (1),,,,traumatised (2),
stack (1),,,,receiving (2),
load (1),,,,process (2),
monitoring (1),,,,whos (2),
checking (1),,,,repetitive (2),
chinese (1),,,,gaviscon (2),
supermarketso (1),,,,measuring (2),
specialised (1),,,,bank (2),
cakes (1),,,,difficult (2),
fry (1),,,,choices (2),
interact (1),,,,super (2),
itll (1),,,,section (2),
andbutter (1),,,,buttons (2),
looks (1),,,,lemon (2),
glutenfree (1),,,,nadia (2),
hang (1),,,,joan (2),
slurpies (1),,,,counter (2),
youso (1),,,,reflective (2),
shows (1),,,,grab (2),
types (1),,,,briefly (2),
treat (1),,,,iot (2),
status (1),,,,changes (2),
thatpossibly (1),,,,empty (2),
melt (1),,,,frequently (2),
balanced (1),,,,stops (2),
nutritionally (1),,,,benefit (2),
ketchup (1),,,,potential (2),
tomato (1),,,,quicker (2),
sugar (1),,,,power (2),
isthats (1),,,,fell (2),
unplugged (1),,,,recording (2),
cleaner (1),,,,randomly (2),
north (1),,,,tonight (2),
breadcrumbs (1),,,,opinion (2),
distance (1),,,,relying (2),
slow (1),,,,eight (2),
properties (1),,,,overload (2),
buyon (1),,,,addition (2),
taking (1),,,,clicked (2),
seamless (1),,,,theoh (2),
mixed (1),,,,glanced (2),
purchases (1),,,,laptop (2),
rarely (1),,,,thered (2),
fishmonger (1),,,,oryes (2),
gails (1),,,,substituted (2),
finally (1),,,,giraffe (2),
anyways (1),,,,decision (2),
highvalue (1),,,,messaging (2),
settled (1),,,,leaked (2),
item (1),,,,investigate (2),
breakfasts (1),,,,here (2),
concerned (1),,,,salt (2),
imagined (1),,,,seconds (2),
hall (1),,,,average (2),
grocers (1),,,,fast (2),
spencers (1),,,,large (2),
marks (1),,,,fill (2),
independent (1),,,,engaged (2),
careful (1),,,,confirming (2),
frustrate (1),,,,guaranteed (2),
adopt (1),,,,timesheets (2),
likely (1),,,,analysing (2),
adopters (1),,,,disabling (2),
technologys (1),,,,closer (2),
broad (1),,,,inside (2),
ivlike (1),,,,outside (2),
sustainable (1),,,,analyse (2),
reducing (1),,,,rfid (2),
spain (1),,,,cheap (2),
apples (1),,,,streamlined (2),
appetite (1),,,,c (2),
pregnancy (1),,,,reduce (2),
decreasing (1),,,,url (2),
stage (1),,,,perfect (2),
stew (1),,,,nicely (2),
jon (1),,,,oclock (2),
quickly (1),,,,dano (2),
costco (1),,,,of (2),
makro (1),,,,break (2),
supply (1),,,,mindset (2),
yoghurt (1),,,,included (2),
partner (1),,,,remotely (2),
cater (1),,,,sat (2),
carry (1),,,,highest (2),
instance (1),,,,individual (2),
uni (1),,,,registered (2),
cafeteria (1),,,,reached (2),
buys (1),,,,happening (2),
suggest (1),,,,ignore (2),
sweetcorn (1),,,,critical (2),
nobody (1),,,,feature (2),
spoilt (1),,,,noticing (2),
reduce (1),,,,leaving (2),
,,,,detail (2),
,,,,explaining (2),
,,,,track (2),
,,,,reduced (2),
,,,,reducing (2),
,,,,neat (2),
,,,,comparison (2),
,,,,struggling (2),
,,,,deal (2),
,,,,original (2),
,,,,testing (2),
,,,,wife (2),
,,,,brain (2),
,,,,besides (2),
,,,,roast (2),
,,,,key (2),
,,,,stay (2),
,,,,comfort (2),
,,,,research (2),
,,,,glitching (2),
,,,,pages (2),
,,,,hungry (2),
,,,,dr (2),
,,,,gosh (2),
,,,,prepledge (2),
,,,,coding (2),
,,,,play (2),
,,,,very (2),
,,,,meet (2),
,,,,mate (2),
,,,,groceries (2),
,,,,tired (2),
,,,,purchasing (2),
,,,,boyfriend (2),
,,,,opinions (2),
,,,,lego (2),
,,,,black (2),
,,,,loved (2),
,,,,coop (2),
,,,,ribena (2),
,,,,cat (2),
,,,,thoughts (2),
,,,,year (2),
,,,,dad (2),
,,,,bored (2),
,,,,shed (2),
,,,,monday (2),
,,,,auto (2),
,,,,sciatica (2),
,,,,have (2),
,,,,meantime (2),
,,,,confirm (2),
